schid stuid meanses homework white public ratio math sex
6053 1 0.6997727 1 1 0 18 50 2
6053 2 0.6997727 1 1 0 18 43 2
6053 4 0.6997727 3 0 0 18 50 2
6053 11 0.6997727 1 1 0 18 49 2
6053 12 0.6997727 1 1 0 18 62 1
6053 13 0.6997727 1 1 0 18 43 2
6053 18 0.6997727 1 1 0 18 42 1
6053 22 0.6997727 4 1 0 18 68 1
6053 23 0.6997727 1 0 0 18 41 1
6053 24 0.6997727 5 1 0 18 62 1
6053 25 0.6997727 1 1 0 18 69 2
6053 26 0.6997727 0 1 0 18 60 2
6053 27 0.6997727 4 1 0 18 71 1
6053 28 0.6997727 1 1 0 18 56 1
6053 32 0.6997727 1 0 0 18 47 2
6053 33 0.6997727 1 1 0 18 58 2
6053 34 0.6997727 1 1 0 18 66 1
6053 36 0.6997727 2 0 0 18 41 1
6053 39 0.6997727 2 0 0 18 60 2
6053 42 0.6997727 2 1 0 18 69 1
6053 43 0.6997727 1 1 0 18 44 1
6053 44 0.6997727 1 1 0 18 61 2
6053 45 0.6997727 2 1 0 18 65 2
6053 53 0.6997727 6 1 0 18 67 2
6053 55 0.6997727 1 1 0 18 57 2
6053 56 0.6997727 5 1 0 18 64 2
6053 57 0.6997727 4 1 0 18 67 2
6053 60 0.6997727 1 1 0 18 65 2
6053 63 0.6997727 1 1 0 18 70 1
6053 64 0.6997727 4 1 0 18 59 2
6053 67 0.6997727 1 1 0 18 54 1
6053 68 0.6997727 1 1 0 18 53 1
6053 69 0.6997727 3 1 0 18 58 1
6053 71 0.6997727 7 1 0 18 59 1
6053 76 0.6997727 4 1 0 18 60 2
6053 77 0.6997727 1 1 0 18 48 2
6053 82 0.6997727 4 1 0 18 59 1
6053 84 0.6997727 4 0 0 18 50 2
6053 86 0.6997727 1 1 0 18 43 1
6053 87 0.6997727 2 1 0 18 48 1
6053 88 0.6997727 5 1 0 18 65 2
6053 93 0.6997727 2 0 0 18 41 2
6053 97 0.6997727 2 0 0 18 50 1
6053 98 0.6997727 2 1 0 18 64 1
6327 4 0.6575 1 1 0 23 61 1
6327 9 0.6575 1 1 0 23 56 1
6327 13 0.6575 1 1 0 23 46 1
6327 15 0.6575 0 1 0 23 60 1
6327 70 0.6575 0 1 0 23 65 1
6327 81 0.6575 3 1 0 23 39 2
6327 90 0.6575 0 1 0 23 67 1
6327 99 0.6575 0 1 0 23 65 1
6467 3 -0.194 3 1 0 19 61 2
6467 43 -0.194 0 1 0 19 42 1
6467 56 -0.194 3 1 0 19 67 2
6467 58 -0.194 4 1 0 19 67 1
6467 88 -0.194 1 1 0 19 46 1
7194 6 -0.3433333 2 1 1 21 42 1
7194 7 -0.3433333 1 1 1 21 56 1
7194 9 -0.3433333 2 1 1 21 40 2
7194 13 -0.3433333 3 1 1 21 40 2
7194 15 -0.3433333 1 0 1 21 41 1
7194 17 -0.3433333 2 1 1 21 39 1
7194 25 -0.3433333 2 1 1 21 48 2
7194 28 -0.3433333 1 1 1 21 42 2
7194 29 -0.3433333 1 1 1 21 50 2
7194 32 -0.3433333 1 1 1 21 59 1
7194 36 -0.3433333 0 1 1 21 62 1
7194 37 -0.3433333 0 1 1 21 42 1
7194 39 -0.3433333 1 0 1 21 53 1
7194 40 -0.3433333 2 1 1 21 53 2
7194 54 -0.3433333 4 1 1 21 44 2
7194 55 -0.3433333 0 1 1 21 43 1
7194 68 -0.3433333 1 1 1 21 62 2
7194 72 -0.3433333 1 1 1 21 64 2
7194 75 -0.3433333 2 1 1 21 45 1
7194 81 -0.3433333 3 1 1 21 37 1
7194 83 -0.3433333 1 1 1 21 50 1
7194 84 -0.3433333 2 1 1 21 58 2
7194 93 -0.3433333 2 1 1 21 56 1
7194 94 -0.3433333 1 1 1 21 37 1
7472 3 -0.4826087 1 1 1 19 48 2
7472 8 -0.4826087 0 1 1 19 48 1
7472 13 -0.4826087 0 1 1 19 53 1
7472 17 -0.4826087 1 1 1 19 42 1
7472 27 -0.4826087 2 1 1 19 43 2
7472 28 -0.4826087 1 1 1 19 57 2
7472 30 -0.4826087 5 1 1 19 33 2
7472 36 -0.4826087 1 1 1 19 64 1
7472 37 -0.4826087 1 1 1 19 36 2
7472 42 -0.4826087 2 1 1 19 56 2
7472 52 -0.4826087 1 1 1 19 48 2
7472 53 -0.4826087 1 1 1 19 48 1
7472 61 -0.4826087 1 1 1 19 44 1
7472 64 -0.4826087 2 1 1 19 35 2
7472 72 -0.4826087 1 1 1 19 50 2
7472 83 -0.4826087 4 1 1 19 36 2
7472 84 -0.4826087 1 1 1 19 47 2
7472 85 -0.4826087 2 1 1 19 41 2
7472 88 -0.4826087 1 1 1 19 42 2
7472 93 -0.4826087 1 1 1 19 49 1
7472 94 -0.4826087 1 1 1 19 39 2
7472 96 -0.4826087 1 1 1 19 45 1
7472 99 -0.4826087 1 1 1 19 48 2
7474 3 -0.2464706 6 1 1 13 42 1
7474 6 -0.2464706 1 1 1 13 48 2
7474 32 -0.2464706 2 1 1 13 57 2
7474 36 -0.2464706 1 1 1 13 60 2
7474 38 -0.2464706 1 1 1 13 67 2
7474 41 -0.2464706 2 0 1 13 48 1
7474 45 -0.2464706 2 1 1 13 51 2
7474 46 -0.2464706 1 1 1 13 46 2
7474 51 -0.2464706 2 1 1 13 44 2
7474 52 -0.2464706 1 1 1 13 62 2
7474 58 -0.2464706 1 1 1 13 63 1
7474 59 -0.2464706 2 1 1 13 47 1
7474 63 -0.2464706 2 1 1 13 56 2
7474 64 -0.2464706 2 1 1 13 58 2
7474 68 -0.2464706 1 1 1 13 54 2
7474 87 -0.2464706 2 1 1 13 54 2
7474 88 -0.2464706 1 1 1 13 60 1
7801 5 -0.3259091 1 0 1 22 46 1
7801 8 -0.3259091 1 1 1 22 47 1
7801 10 -0.3259091 5 1 1 22 38 2
7801 12 -0.3259091 1 0 1 22 40 2
7801 15 -0.3259091 2 1 1 22 39 2
7801 21 -0.3259091 2 1 1 22 54 1
7801 24 -0.3259091 1 0 1 22 56 1
7801 25 -0.3259091 1 1 1 22 58 2
7801 29 -0.3259091 2 0 1 22 62 2
7801 34 -0.3259091 1 1 1 22 44 1
7801 42 -0.3259091 1 1 1 22 44 2
7801 46 -0.3259091 1 0 1 22 47 2
7801 62 -0.3259091 2 1 1 22 54 1
7801 63 -0.3259091 1 1 1 22 43 2
7801 64 -0.3259091 1 0 1 22 67 1
7801 68 -0.3259091 1 1 1 22 62 2
7801 72 -0.3259091 1 1 1 22 62 1
7801 80 -0.3259091 3 1 1 22 50 2
7801 85 -0.3259091 1 1 1 22 45 1
7801 87 -0.3259091 2 1 1 22 50 2
7801 91 -0.3259091 2 1 1 22 34 1
7801 99 -0.3259091 0 1 1 22 60 1
7829 0 -0.848 2 0 1 18 58 2
7829 15 -0.848 2 0 1 18 43 1
7829 17 -0.848 1 0 1 18 49 1
7829 20 -0.848 1 0 1 18 42 1
7829 24 -0.848 5 0 1 18 35 2
7829 25 -0.848 2 0 1 18 38 1
7829 29 -0.848 1 0 1 18 35 1
7829 31 -0.848 4 0 1 18 42 1
7829 34 -0.848 4 0 1 18 41 1
7829 38 -0.848 3 0 1 18 31 1
7829 44 -0.848 2 0 1 18 41 1
7829 54 -0.848 1 0 1 18 32 2
7829 62 -0.848 0 0 1 18 65 1
7829 65 -0.848 1 0 1 18 50 2
7829 66 -0.848 3 0 1 18 37 1
7829 68 -0.848 3 0 1 18 44 1
7829 81 -0.848 3 0 1 18 44 2
7829 91 -0.848 2 0 1 18 41 1
7829 93 -0.848 3 0 1 18 39 2
7829 98 -0.848 4 0 1 18 36 2
7930 3 0.1470833 4 1 1 14 65 2
7930 8 0.1470833 3 1 1 14 62 1
7930 11 0.1470833 1 0 1 14 44 2
7930 16 0.1470833 4 1 1 14 63 1
7930 21 0.1470833 2 1 1 14 43 2
7930 24 0.1470833 4 1 1 14 68 2
7930 26 0.1470833 1 1 1 14 50 1
7930 34 0.1470833 2 1 1 14 57 1
7930 43 0.1470833 1 1 1 14 53 2
7930 52 0.1470833 1 1 1 14 48 1
7930 53 0.1470833 2 0 1 14 53 2
7930 57 0.1470833 1 1 1 14 47 1
7930 59 0.1470833 0 1 1 14 36 1
7930 61 0.1470833 1 1 1 14 52 2
7930 63 0.1470833 3 1 1 14 70 2
7930 64 0.1470833 2 0 1 14 51 2
7930 65 0.1470833 2 1 1 14 67 1
7930 68 0.1470833 1 1 1 14 44 1
7930 71 0.1470833 3 1 1 14 70 1
7930 73 0.1470833 1 1 1 14 33 2
7930 81 0.1470833 2 1 1 14 70 2
7930 83 0.1470833 1 1 1 14 54 2
7930 90 0.1470833 1 1 1 14 37 1
7930 97 0.1470833 1 1 1 14 41 2
24371 6 -0.399 2 0 1 20 38 2
24371 13 -0.399 2 1 1 20 62 1
24371 19 -0.399 3 1 1 20 49 2
24371 22 -0.399 1 0 1 20 43 2
24371 24 -0.399 1 1 1 20 36 2
24371 26 -0.399 1 1 1 20 36 1
24371 42 -0.399 6 1 1 20 63 2
24371 47 -0.399 2 0 1 20 42 2
24371 50 -0.399 2 1 1 20 33 2
24371 53 -0.399 1 1 1 20 54 2
24371 56 -0.399 4 1 1 20 65 1
24371 58 -0.399 3 1 1 20 64 2
24371 72 -0.399 1 1 1 20 47 1
24371 74 -0.399 1 1 1 20 35 1
24371 76 -0.399 2 1 1 20 62 2
24371 79 -0.399 1 0 1 20 39 2
24371 83 -0.399 4 1 1 20 58 2
24371 89 -0.399 1 1 1 20 41 2
24371 92 -0.399 1 0 1 20 51 2
24371 94 -0.399 1 0 1 20 49 2
24725 1 -0.7009091 1 1 1 18 31 1
24725 5 -0.7009091 0 1 1 18 39 1
24725 6 -0.7009091 1 1 1 18 48 2
24725 7 -0.7009091 1 1 1 18 34 1
24725 9 -0.7009091 0 1 1 18 33 1
24725 10 -0.7009091 1 1 1 18 47 1
24725 13 -0.7009091 0 1 1 18 40 2
24725 14 -0.7009091 1 1 1 18 31 2
24725 16 -0.7009091 2 1 1 18 36 1
24725 28 -0.7009091 1 1 1 18 37 2
24725 30 -0.7009091 5 1 1 18 62 2
24725 31 -0.7009091 1 1 1 18 41 1
24725 37 -0.7009091 1 1 1 18 41 2
24725 39 -0.7009091 1 1 1 18 37 2
24725 51 -0.7009091 1 1 1 18 43 2
24725 54 -0.7009091 2 1 1 18 40 2
24725 65 -0.7009091 1 1 1 18 42 1
24725 68 -0.7009091 5 1 1 18 64 1
24725 78 -0.7009091 4 1 1 18 54 2
24725 85 -0.7009091 4 1 1 18 65 1
24725 88 -0.7009091 1 0 1 18 45 1
24725 89 -0.7009091 2 1 1 18 48 1
25456 1 -0.1968182 0 1 1 12 62 2
25456 4 -0.1968182 2 1 1 12 33 2
25456 9 -0.1968182 1 1 1 12 53 2
25456 13 -0.1968182 1 1 1 12 43 1
25456 19 -0.1968182 0 1 1 12 54 2
25456 20 -0.1968182 0 1 1 12 60 1
25456 29 -0.1968182 2 1 1 12 58 1
25456 48 -0.1968182 2 1 1 12 49 2
25456 51 -0.1968182 0 1 1 12 49 2
25456 60 -0.1968182 1 1 1 12 53 1
25456 61 -0.1968182 1 1 1 12 56 1
25456 65 -0.1968182 1 1 1 12 58 1
25456 66 -0.1968182 0 1 1 12 46 1
25456 67 -0.1968182 2 1 1 12 32 1
25456 68 -0.1968182 0 1 1 12 60 2
25456 69 -0.1968182 1 1 1 12 48 1
25456 74 -0.1968182 1 1 1 12 47 1
25456 76 -0.1968182 0 1 1 12 52 2
25456 78 -0.1968182 1 1 1 12 42 1
25456 84 -0.1968182 1 1 1 12 58 1
25456 97 -0.1968182 0 1 1 12 41 2
25456 99 -0.1968182 2 1 1 12 43 2
25642 7 -1.0685 1 0 1 11 42 1
25642 9 -1.0685 1 0 1 11 46 2
25642 24 -1.0685 1 0 1 11 43 2
25642 33 -1.0685 1 0 1 11 46 2
25642 36 -1.0685 1 0 1 11 47 1
25642 37 -1.0685 1 0 1 11 49 2
25642 42 -1.0685 2 0 1 11 47 2
25642 44 -1.0685 1 0 1 11 44 2
25642 45 -1.0685 3 0 1 11 39 2
25642 57 -1.0685 1 1 1 11 41 1
25642 59 -1.0685 0 0 1 11 51 2
25642 63 -1.0685 0 0 1 11 45 1
25642 67 -1.0685 0 0 1 11 57 1
25642 73 -1.0685 1 0 1 11 47 1
25642 76 -1.0685 2 0 1 11 42 1
25642 80 -1.0685 1 0 1 11 47 2
25642 83 -1.0685 3 0 1 11 47 2
25642 84 -1.0685 1 0 1 11 51 2
25642 86 -1.0685 1 0 1 11 53 2
25642 95 -1.0685 1 0 1 11 44 1
26537 8 1.17625 1 1 0 10 52 2
26537 11 1.17625 5 1 0 10 64 2
26537 17 1.17625 5 1 0 10 62 2
26537 24 1.17625 5 1 0 10 67 2
26537 36 1.17625 1 1 0 10 48 2
26537 38 1.17625 2 0 0 10 50 2
26537 41 1.17625 2 1 0 10 59 2
26537 42 1.17625 4 1 0 10 67 2
26537 50 1.17625 1 1 0 10 43 2
26537 68 1.17625 1 0 0 10 45 2
26537 73 1.17625 5 1 0 10 55 2
26537 76 1.17625 1 1 0 10 43 2
26537 77 1.17625 3 1 0 10 64 1
26537 83 1.17625 1 1 0 10 49 2
26537 92 1.17625 1 1 0 10 63 2
26537 95 1.17625 4 1 0 10 71 2
46417 15 -0.2795652 5 1 0 28 67 1
46417 16 -0.2795652 1 1 0 28 57 2
46417 18 -0.2795652 2 1 0 28 58 2
46417 22 -0.2795652 4 1 0 28 69 2
46417 24 -0.2795652 1 1 0 28 49 2
46417 40 -0.2795652 1 0 0 28 70 1
46417 42 -0.2795652 1 0 0 28 47 1
46417 49 -0.2795652 3 1 0 28 69 1
46417 50 -0.2795652 1 1 0 28 54 2
46417 54 -0.2795652 1 1 0 28 49 1
46417 57 -0.2795652 1 1 0 28 54 1
46417 58 -0.2795652 1 1 0 28 46 2
46417 65 -0.2795652 3 1 0 28 68 1
46417 66 -0.2795652 1 1 0 28 60 2
46417 67 -0.2795652 1 1 0 28 58 1
46417 74 -0.2795652 1 1 0 28 40 2
46417 78 -0.2795652 3 1 0 28 49 1
